Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Park7,PARK7,Q99LX0,PARK7_MOUSE,Parkinson disease protein 7 homolog,27308,41884,tdTomato enriched,-0.62,0.00213,0.01663
Fubp1,FUBP1,Q91WJ8,FUBP1_MOUSE,Far upstream element-binding protein 1,6319,12243,tdTomato enriched,-0.90,0.00219,0.01679
Ndufa7,NDUFA7,Q9Z1P6,NDUA7_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,6476,14170,tdTomato enriched,-1.11,0.00220,0.01679
Mag,MAG,P20917,MAG_MOUSE,Myelin-associated glycoprotein,22097,47191,tdTomato enriched,-1.13,0.00223,0.01694
Nudcd3,NUDCD3,Q8R1N4,NUDC3_MOUSE,NudC domain-containing protein 3,8554,15246,tdTomato enriched,-0.81,0.00227,0.01707
Eno1,ENO1,P17182,ENOA_MOUSE,Alpha-enolase,253503,540139,tdTomato enriched,-1.11,0.00240,0.01765
Sh2b1,SH2B1,Q91ZM2,SH2B1_MOUSE,SH2B adapter protein 1,4156,5900,tdTomato enriched,-0.51,0.00249,0.01798
Arpc5l,ARPC5L,Q9D898,ARP5L_MOUSE,Actin-related protein 2/3 complex subunit 5-like protein,9497,21492,tdTomato enriched,-1.13,0.00299,0.02041
Cmpk2,CMPK2,Q3U5Q7,CMPK2_MOUSE,"UMP-CMP kinase 2, mitochondrial",8047,12967,tdTomato enriched,-0.68,0.00304,0.02054
Stx12,STX12,Q9ER00,STX12_MOUSE,Syntaxin-12,4170,8081,tdTomato enriched,-0.94,0.00312,0.02081
Ola1,OLA1,Q9CZ30,OLA1_MOUSE,Obg-like ATPase 1,12729,21433,tdTomato enriched,-0.76,0.00314,0.02083
Psmc6,PSMC6,P62334,PRS10_MOUSE,26S proteasome regulatory subunit 10B,5119,10425,tdTomato enriched,-1.03,0.00335,0.02165
Tpt1,TPT1,P63028,TCTP_MOUSE,Translationally-controlled tumor protein,5959,12020,tdTomato enriched,-1.05,0.00337,0.02172
Aldh4a1,ALDH4A1,Q8CHT0,AL4A1_MOUSE,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",5941,11869,tdTomato enriched,-1.05,0.00351,0.02217
Gng12,GNG12,Q9DAS9,GBG12_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,29209,54222,tdTomato enriched,-0.92,0.00382,0.02318
Taco1,TACO1,Q8K0Z7,TACO1_MOUSE,Translational activator of cytochrome c oxidase 1,2301,4539,tdTomato enriched,-0.98,0.00392,0.02346
Lrrc57,LRRC57,Q9D1G5,LRC57_MOUSE,Leucine-rich repeat-containing protein 57,8929,14929,tdTomato enriched,-0.77,0.00413,0.02417
Psma2,PSMA2,P49722,PSA2_MOUSE,Proteasome subunit alpha type-2,7695,13874,tdTomato enriched,-0.86,0.00413,0.02417
Sri,SRI,Q6P069,SORCN_MOUSE,Sorcin,7496,13686,tdTomato enriched,-0.89,0.00413,0.02417
Atic,ATIC,Q9CWJ9,PUR9_MOUSE,Bifunctional purine biosynthesis protein ATIC,17507,27695,tdTomato enriched,-0.67,0.00441,0.02500
Negr1,NEGR1,Q80Z24,NEGR1_MOUSE,Neuronal growth regulator 1,10558,24446,tdTomato enriched,-1.23,0.00456,0.02553
Mob4,MOB4,Q6PEB6,PHOCN_MOUSE,MOB-like protein phocein,7136,11966,tdTomato enriched,-0.77,0.00458,0.02559
Map1lc3a,MAP1LC3A,Q91VR7,MLP3A_MOUSE,Microtubule-associated proteins 1A/1B light chain 3A,23072,45264,tdTomato enriched,-1.00,0.00460,0.02563
Gltp,GLTP,Q9JL62,GLTP_MOUSE,Glycolipid transfer protein,5165,8149,tdTomato enriched,-0.67,0.00463,0.02569
Cyc1,CYC1,Q9D0M3,CY1_MOUSE,"Cytochrome c1, heme protein, mitochondrial",91078,155681,tdTomato enriched,-0.80,0.00465,0.02569
Abcb6,ABCB6,Q9DC29,ABCB6_MOUSE,ATP-binding cassette sub-family B member 6,67564,232377,tdTomato enriched,-1.98,0.00466,0.02571
Calb1,CALB1,P12658,CALB1_MOUSE,Calbindin,7471,15207,tdTomato enriched,-1.04,0.00467,0.02573
Cbr1,CBR1,P48758,CBR1_MOUSE,Carbonyl reductase [NADPH] 1,21676,42107,tdTomato enriched,-1.00,0.00480,0.02618
Txndc17,TXNDC17,Q9CQM5,TXD17_MOUSE,Thioredoxin domain-containing protein 17,3485,8321,tdTomato enriched,-1.27,0.00488,0.02639
Ntm,NTM,Q99PJ0,NTRI_MOUSE,Neurotrimin,35617,65534,tdTomato enriched,-0.92,0.00490,0.02646
Cs,CS,Q9CZU6,CISY_MOUSE,"Citrate synthase, mitochondrial",158473,329530,tdTomato enriched,-1.12,0.00497,0.02652
U2af1,U2AF1L5,Q9D883,U2AF1_MOUSE,Splicing factor U2AF 35 kDa subunit,6389,14189,tdTomato enriched,-1.12,0.00500,0.02652
Gsto1,GSTO1,O09131,GSTO1_MOUSE,Glutathione S-transferase omega-1,5858,10083,tdTomato enriched,-0.82,0.00502,0.02654
Rpsa,RPSA,P14206,RSSA_MOUSE,40S ribosomal protein SA,14372,26772,tdTomato enriched,-0.91,0.00511,0.02683
Hnrnpd,HNRNPD,Q60668,HNRPD_MOUSE,Heterogeneous nuclear ribonucleoprotein D0,9981,23960,tdTomato enriched,-1.35,0.00517,0.02704
Nfs1,NFS1,Q9Z1J3,NFS1_MOUSE,"Cysteine desulfurase, mitochondrial",3838,7210,tdTomato enriched,-0.94,0.00522,0.02719
Ndufv2,NDUFV2,Q9D6J6,NDUV2_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",13268,28293,tdTomato enriched,-1.08,0.00534,0.02739
Csnk2a1,CSNK2A1,Q60737,CSK21_MOUSE,Casein kinase II subunit alpha,6797,14478,tdTomato enriched,-1.11,0.00546,0.02764
Anxa7,ANXA7,Q07076,ANXA7_MOUSE,Annexin A7,10173,22941,tdTomato enriched,-1.25,0.00551,0.02777
Ube2n,UBE2N,P61089,UBE2N_MOUSE,Ubiquitin-conjugating enzyme E2 N,15685,42299,tdTomato enriched,-1.43,0.00554,0.02788
Ufd1,UFD1,P70362,UFD1_MOUSE,Ubiquitin recognition factor in ER-associated degradation protein 1,5347,8604,tdTomato enriched,-0.67,0.00575,0.02840
Sfpq,SFPQ,Q8VIJ6,SFPQ_MOUSE,"Splicing factor, proline- and glutamine-rich",20867,41887,tdTomato enriched,-1.06,0.00578,0.02844
Psma1,PSMA1,Q9R1P4,PSA1_MOUSE,Proteasome subunit alpha type-1,13481,26157,tdTomato enriched,-0.99,0.00582,0.02853
Psma5,PSMA5,Q9Z2U1,PSA5_MOUSE,Proteasome subunit alpha type-5,6977,14585,tdTomato enriched,-1.10,0.00591,0.02884
Gnas,GNAS,Q6R0H7,GNAS1_MOUSE,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,17176,28049,tdTomato enriched,-0.72,0.00598,0.02896
Wdhd1,WDHD1,P59328,WDHD1_MOUSE,WD repeat and HMG-box DNA-binding protein 1,44640,96100,tdTomato enriched,-1.16,0.00614,0.02948
Cpt2,CPT2,P52825,CPT2_MOUSE,"Carnitine O-palmitoyltransferase 2, mitochondrial",1498,1852,tdTomato enriched,-9.00,0.00614,0.02948
Zfp184,ZNF184,Q7TSH9,ZN184_MOUSE,Zinc finger protein 184,7345,47825,tdTomato enriched,-2.90,0.00625,0.02971
Rbm39,RBM39,Q8VH51,RBM39_MOUSE,RNA-binding protein 39,11818,26186,tdTomato enriched,-1.05,0.00626,0.02971
Ndufa12,NDUFA12,Q7TMF3,NDUAC_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,13323,24954,tdTomato enriched,-0.95,0.00628,0.02978
Nova1,NOVA1,Q9JKN6,NOVA1_MOUSE,RNA-binding protein Nova-1,3284,5857,tdTomato enriched,-0.86,0.00641,0.03021
Mpst,MPST,Q99J99,THTM_MOUSE,3-mercaptopyruvate sulfurtransferase,4068,7201,tdTomato enriched,-0.86,0.00653,0.03032
Pdia3,PDIA3,P27773,PDIA3_MOUSE,Protein disulfide-isomerase A3,10904,25026,tdTomato enriched,-1.20,0.00658,0.03033
Zfr,ZFR,O88532,ZFR_MOUSE,Zinc finger RNA-binding protein,3403,5094,tdTomato enriched,-0.60,0.00661,0.03033
Psmd11,PSMD11,Q8BG32,PSD11_MOUSE,26S proteasome non-ATPase regulatory subunit 11,7932,14505,tdTomato enriched,-0.91,0.00691,0.03081
Ncl,NCL,P09405,NUCL_MOUSE,Nucleolin,5062,9759,tdTomato enriched,-0.96,0.00698,0.03101
Hdhd2,HDHD2,Q3UGR5,HDHD2_MOUSE,Haloacid dehalogenase-like hydrolase domain-containing protein 2,4651,8506,tdTomato enriched,-0.91,0.00699,0.03101
Eno2,ENO2,P17183,ENOG_MOUSE,Gamma-enolase,89533,224386,tdTomato enriched,-1.45,0.00707,0.03119
Pmpca,PMPCA,Q9DC61,MPPA_MOUSE,Mitochondrial-processing peptidase subunit alpha,3498,5297,tdTomato enriched,-0.61,0.00707,0.03119
Acadm,ACADM,P45952,ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",12063,19065,tdTomato enriched,-0.68,0.00707,0.03119
Ndufa2,NDUFA2,Q9CQ75,NDUA2_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,9257,18979,tdTomato enriched,-1.08,0.00717,0.03147
Rhob,RHOB,P62746,RHOB_MOUSE,Rho-related GTP-binding protein RhoB,29777,42381,tdTomato enriched,-0.52,0.00739,0.03203
Tmem263,TMEM263,Q9DAM7,TM263_MOUSE,Transmembrane protein 263,301796,632099,tdTomato enriched,-1.13,0.00742,0.03207
Tst,TST,P52196,THTR_MOUSE,Thiosulfate sulfurtransferase,8565,16077,tdTomato enriched,-0.95,0.00743,0.03207
Eno3,ENO3,P21550,ENOB_MOUSE,Beta-enolase,99658,207496,tdTomato enriched,-1.13,0.00747,0.03222
Uchl1,UCHL1,Q9R0P9,UCHL1_MOUSE,Ubiquitin carboxyl-terminal hydrolase isozyme L1,103800,226414,tdTomato enriched,-1.21,0.00754,0.03232
Pip4k2c,PIP4K2C,Q91XU3,PI42C_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,9816,13597,tdTomato enriched,-0.48,0.00756,0.03234
Fahd1,FAHD1,Q8R0F8,FAHD1_MOUSE,"Acylpyruvase FAHD1, mitochondrial",1929,3803,tdTomato enriched,-0.99,0.00761,0.03240
Hspa5,HSPA5,P20029,BIP_MOUSE,Endoplasmic reticulum chaperone BiP,18308,38890,tdTomato enriched,-1.15,0.00761,0.03240
Ndrg4,NDRG4,Q8BTG7,NDRG4_MOUSE,Protein NDRG4,15255,23571,tdTomato enriched,-0.65,0.00761,0.03240
Atp5pd,NA,Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial",18700,40982,tdTomato enriched,-1.18,0.00762,0.03241
Napa,NAPA,Q9DB05,SNAA_MOUSE,Alpha-soluble NSF attachment protein,18898,35274,tdTomato enriched,-0.96,0.00778,0.03291
Hspe1,HSPE1,Q64433,CH10_MOUSE,"10 kDa heat shock protein, mitochondrial",14850,26075,tdTomato enriched,-0.79,0.00797,0.03349
Anxa5,ANXA5,P08758,ANXA5_HUMAN,Annexin A5,18979,26712,tdTomato enriched,-0.51,0.00798,0.03349
Nampt,NAMPT,Q99KQ4,NAMPT_MOUSE,Nicotinamide phosphoribosyltransferase,3404,5444,tdTomato enriched,-0.71,0.00799,0.03349
Etfa,ETFA,Q99LC5,ETFA_MOUSE,"Electron transfer flavoprotein subunit alpha, mitochondrial",17100,32845,tdTomato enriched,-1.01,0.00799,0.03349
Rps5,RPS5,P97461,RS5_MOUSE,40S ribosomal protein S5,3926,7009,tdTomato enriched,-0.85,0.00819,0.03394
Hnrnpa3,HNRNPA3,Q8BG05,ROA3_MOUSE,Heterogeneous nuclear ribonucleoprotein A3,22488,40903,tdTomato enriched,-0.92,0.00821,0.03394
Camk1d,CAMK1D,Q8BW96,KCC1D_MOUSE,Calcium/calmodulin-dependent protein kinase type 1D,10204,14656,tdTomato enriched,-0.53,0.00821,0.03394
Hnrnpa1,HNRNPA1,P49312,ROA1_MOUSE,Heterogeneous nuclear ribonucleoprotein A1,24701,39218,tdTomato enriched,-0.68,0.00843,0.03457
Anxa11,ANXA11,P97384,ANX11_MOUSE,Annexin A11,6600,11069,tdTomato enriched,-0.78,0.00855,0.03485
Ado,ADO,Q6PDY2,AEDO_MOUSE,2-aminoethanethiol dioxygenase,13614,18238,tdTomato enriched,-0.43,0.00858,0.03494
Atox1,ATOX1,O08997,ATOX1_MOUSE,Copper transport protein ATOX1,2384,4061,tdTomato enriched,-0.74,0.00863,0.03501
Cacnb3,CACNB3,P54285,CACB3_MOUSE,Voltage-dependent L-type calcium channel subunit beta-3,2911,4586,tdTomato enriched,-0.64,0.00869,0.03511
Hsp90b1,HSP90B1,P08113,ENPL_MOUSE,Endoplasmin,14661,29038,tdTomato enriched,-1.05,0.00872,0.03517
Tomm70,NA,Q9CZW5,TOM70_MOUSE,Mitochondrial import receptor subunit TOM70,16260,30814,tdTomato enriched,-0.97,0.00876,0.03531
Atp6v1e1,ATP6V1E1,P50518,VATE1_MOUSE,V-type proton ATPase subunit E 1,21668,52350,tdTomato enriched,-1.32,0.00887,0.03546
Nrcam,NRCAM,Q810U4,NRCAM_MOUSE,Neuronal cell adhesion molecule,10986,21725,tdTomato enriched,-1.05,0.00891,0.03554
Pura,PURA,P42669,PURA_MOUSE,Transcriptional activator protein Pur-alpha,33841,62197,tdTomato enriched,-0.93,0.00891,0.03554
Osbpl1a,OSBPL1A,Q91XL9,OSBL1_MOUSE,Oxysterol-binding protein-related protein 1,17561,25008,tdTomato enriched,-0.51,0.00913,0.03586
Dnaja1,DNAJA1,P63037,DNJA1_MOUSE,DnaJ homolog subfamily A member 1,8979,17224,tdTomato enriched,-1.01,0.00919,0.03595
Tppp,TPPP,Q7TQD2,TPPP_MOUSE,Tubulin polymerization-promoting protein,52858,92037,tdTomato enriched,-0.78,0.00926,0.03610
Dazap1,DAZAP1,Q9JII5,DAZP1_MOUSE,DAZ-associated protein 1,3666,6034,tdTomato enriched,-0.74,0.00931,0.03610
Tpp1,TPP1,O89023,TPP1_MOUSE,Tripeptidyl-peptidase 1,3179,7956,tdTomato enriched,-1.33,0.00933,0.03610
Tpi1,TPI1,P17751,TPIS_MOUSE,Triosephosphate isomerase,102047,236403,tdTomato enriched,-1.31,0.00935,0.03610
Kars1,NA,Q99MN1,SYK_MOUSE,Lysine--tRNA ligase,6897,9558,tdTomato enriched,-0.47,0.00944,0.03622
Hint1,HINT1,P70349,HINT1_MOUSE,Histidine triad nucleotide-binding protein 1,22967,39855,tdTomato enriched,-0.80,0.00949,0.03624
Idh2,IDH2,P54071,IDHP_MOUSE,"Isocitrate dehydrogenase [NADP], mitochondrial",10258,18899,tdTomato enriched,-0.93,0.00954,0.03636
Arpc5,ARPC5,Q9CPW4,ARPC5_MOUSE,Actin-related protein 2/3 complex subunit 5,6143,10617,tdTomato enriched,-0.82,0.00956,0.03637
Sult4a1,SULT4A1,P63046,ST4A1_MOUSE,Sulfotransferase 4A1,4836,8314,tdTomato enriched,-0.82,0.00972,0.03675
Lin7a,LIN7A,Q8JZS0,LIN7A_MOUSE,Protein lin-7 homolog A,17815,34019,tdTomato enriched,-0.94,0.00980,0.03684
Rag1,RAG1,P15919,RAG1_MOUSE,V(D)J recombination-activating protein 1,5573,10690,tdTomato enriched,-0.95,0.01006,0.03735
Map6d1,MAP6D1,Q14BB9,MA6D1_MOUSE,MAP6 domain-containing protein 1,7539,14811,tdTomato enriched,-0.96,0.01008,0.03735
Gtf2f2,GTF2F2,Q8R0A0,T2FB_MOUSE,General transcription factor IIF subunit 2,15894,25962,tdTomato enriched,-0.74,0.01010,0.03735
Uba2,UBA2,Q9Z1F9,SAE2_MOUSE,SUMO-activating enzyme subunit 2,11953,21391,tdTomato enriched,-0.87,0.01015,0.03736
Thy1,THY1,P01831,THY1_MOUSE,Thy-1 membrane glycoprotein,112552,246523,tdTomato enriched,-1.16,0.01021,0.03744
Cmpk1,CMPK1,Q9DBP5,KCY_MOUSE,UMP-CMP kinase,17840,31589,tdTomato enriched,-0.82,0.01030,0.03753
Atp6v1g2,ATP6V1G2,Q9WTT4,VATG2_MOUSE,V-type proton ATPase subunit G 2,10477,26397,tdTomato enriched,-1.34,0.01034,0.03753
Actbl2,ACTBL2,Q8BFZ3,ACTBL_MOUSE,Beta-actin-like protein 2,17681,35576,tdTomato enriched,-1.08,0.01043,0.03768
Scp2,SCP2,P32020,SCP2_MOUSE,Sterol carrier protein 2,4006,6865,tdTomato enriched,-0.76,0.01047,0.03768
Capn2,CAPN2,O08529,CAN2_MOUSE,Calpain-2 catalytic subunit,10456,17404,tdTomato enriched,-0.77,0.01048,0.03768
Ppp3ca,PPP3CA,P63328,PP2BA_MOUSE,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,208230,304713,tdTomato enriched,-0.57,0.01073,0.03833
Pgk1,PGK1,P09411,PGK1_MOUSE,Phosphoglycerate kinase 1,83093,188517,tdTomato enriched,-1.29,0.01097,0.03898
Dpysl4,DPYSL4,O35098,DPYL4_MOUSE,Dihydropyrimidinase-related protein 4,27815,44380,tdTomato enriched,-0.69,0.01127,0.03971
Fh,NA,P97807,FUMH_MOUSE,"Fumarate hydratase, mitochondrial",42648,89214,tdTomato enriched,-1.15,0.01130,0.03977
Dlst,DLST,Q9D2G2,ODO2_MOUSE,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",37859,75821,tdTomato enriched,-1.05,0.01140,0.03994
Pitrm1,PITRM1,Q8K411,PREP_MOUSE,"Presequence protease, mitochondrial",2684,4387,tdTomato enriched,-0.74,0.01149,0.04015
Pls3,PLS3,Q99K51,PLST_MOUSE,Plastin-3,8460,14690,tdTomato enriched,-0.84,0.01164,0.04065
Psmb4,PSMB4,P99026,PSB4_MOUSE,Proteasome subunit beta type-4,8449,12592,tdTomato enriched,-0.59,0.01167,0.04068
Akap7,AKAP7,Q7TN79,AKA7G_MOUSE,A-kinase anchor protein 7 isoform gamma,2691,4759,tdTomato enriched,-0.86,0.01169,0.04069
Got2,GOT2,P05202,AATM_MOUSE,"Aspartate aminotransferase, mitochondrial",115897,250086,tdTomato enriched,-1.21,0.01175,0.04080
Bcas1,BCAS1,Q80YN3,BCAS1_MOUSE,Breast carcinoma-amplified sequence 1 homolog,10724,21156,tdTomato enriched,-0.94,0.01177,0.04084
Adar,ADAR,Q99MU3,DSRAD_MOUSE,Double-stranded RNA-specific adenosine deaminase,2521,3958,tdTomato enriched,-0.64,0.01178,0.04084
Ssb,SSB,P32067,LA_MOUSE,Lupus La protein homolog,3233,5251,tdTomato enriched,-0.71,0.01201,0.04140
Ppia,PPIA,P17742,PPIA_MOUSE,Peptidyl-prolyl cis-trans isomerase A,201566,422219,tdTomato enriched,-1.08,0.01215,0.04175
Fmo1,FMO1,P50285,FMO1_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 1,3350,4445,tdTomato enriched,-0.40,0.01221,0.04187
Phf24,PHF24,Q80TL4,PHF24_MOUSE,PHD finger protein 24,20296,37185,tdTomato enriched,-0.92,0.01252,0.04265
Ddt,DDT,O35215,DOPD_MOUSE,D-dopachrome decarboxylase,18760,27188,tdTomato enriched,-0.54,0.01274,0.04321
Ak5,AK5,Q920P5,KAD5_MOUSE,Adenylate kinase isoenzyme 5,8115,13663,tdTomato enriched,-0.75,0.01276,0.04321
Gars1,NA,Q9CZD3,GARS_MOUSE,Glycine--tRNA ligase,10564,19838,tdTomato enriched,-0.97,0.01289,0.04355
Mras,MRAS,O08989,RASM_MOUSE,Ras-related protein M-Ras,4564,7482,tdTomato enriched,-0.70,0.01297,0.04366
Ppp2r1a,PPP2R1A,Q76MZ3,2AAA_MOUSE,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,31710,66903,tdTomato enriched,-1.18,0.01320,0.04413
Ndufs2,NDUFS2,Q91WD5,NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",18117,38753,tdTomato enriched,-1.21,0.01321,0.04413
Fgg,FGG,Q8VCM7,FIBG_MOUSE,Fibrinogen gamma chain,1759,2336,tdTomato enriched,-0.42,0.01330,0.04440
Mtx1,MTX1,P47802,MTX1_MOUSE,Metaxin-1,10942,24048,tdTomato enriched,-1.23,0.01337,0.04447
Lgalsl,LGALSL,Q8VED9,LEGL_MOUSE,Galectin-related protein,7599,15975,tdTomato enriched,-1.06,0.01344,0.04453
Pitpna,PITPNA,P53810,PIPNA_MOUSE,Phosphatidylinositol transfer protein alpha isoform,21578,34981,tdTomato enriched,-0.74,0.01353,0.04478
Gmfb,GMFB,Q9CQI3,GMFB_MOUSE,Glia maturation factor beta,14211,24195,tdTomato enriched,-0.80,0.01355,0.04482
Hmgb1,HMGB1,P63158,HMGB1_MOUSE,High mobility group protein B1,6583,16884,tdTomato enriched,-1.31,0.01359,0.04488
U2surp,U2SURP,Q6NV83,SR140_MOUSE,U2 snRNP-associated SURP motif-containing protein,6724,17530,tdTomato enriched,-1.19,0.01359,0.04488
Atp5f1b,NA,P56480,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial",251430,487844,tdTomato enriched,-0.99,0.01366,0.04488
Tubb4a,TUBB4A,Q9D6F9,TBB4A_MOUSE,Tubulin beta-4A chain,135392,237183,tdTomato enriched,-0.85,0.01371,0.04499
Myef2,MYEF2,Q8C854,MYEF2_MOUSE,Myelin expression factor 2,8981,16398,tdTomato enriched,-0.93,0.01374,0.04505
Ndufa8,NDUFA8,Q9DCJ5,NDUA8_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,20660,38425,tdTomato enriched,-0.94,0.01375,0.04505
Ddx17,DDX17,Q501J6,DDX17_MOUSE,Probable ATP-dependent RNA helicase DDX17,16064,27178,tdTomato enriched,-0.79,0.01379,0.04506
Hspd1,HSPD1,P63038,CH60_MOUSE,"60 kDa heat shock protein, mitochondrial",38547,79012,tdTomato enriched,-1.11,0.01399,0.04547
Epdr1,EPDR1,Q99M71,EPDR1_MOUSE,Mammalian ependymin-related protein 1,15801,28366,tdTomato enriched,-0.91,0.01405,0.04554
Hexb,HEXB,P20060,HEXB_MOUSE,Beta-hexosaminidase subunit beta,7634,12829,tdTomato enriched,-0.80,0.01408,0.04559
Bcat1,BCAT1,P24288,BCAT1_MOUSE,"Branched-chain-amino-acid aminotransferase, cytosolic",8660,14635,tdTomato enriched,-0.77,0.01409,0.04559
Tubb5,TUBB,P99024,TBB5_MOUSE,Tubulin beta-5 chain,168826,297991,tdTomato enriched,-0.83,0.01414,0.04563
Nme1,NME1,P15532,NDKA_MOUSE,Nucleoside diphosphate kinase A,45417,82751,tdTomato enriched,-0.92,0.01420,0.04572
Acaa2,ACAA2,Q8BWT1,THIM_MOUSE,"3-ketoacyl-CoA thiolase, mitochondrial",14748,27158,tdTomato enriched,-0.94,0.01424,0.04576
Cntn2,CNTN2,Q61330,CNTN2_MOUSE,Contactin-2,4044,6969,tdTomato enriched,-0.82,0.01435,0.04602
Hdgf,HDGF,P51859,HDGF_MOUSE,Hepatoma-derived growth factor,3700,6960,tdTomato enriched,-0.98,0.01435,0.04602
Prdx5,PRDX5,P99029,PRDX5_MOUSE,"Peroxiredoxin-5, mitochondrial",110553,195580,tdTomato enriched,-0.85,0.01445,0.04630
Cfl1,CFL1,P18760,COF1_MOUSE,Cofilin-1,82075,135633,tdTomato enriched,-0.75,0.01446,0.04630
Por,POR,P37040,NCPR_MOUSE,NADPH--cytochrome P450 reductase,12317,19085,tdTomato enriched,-0.63,0.01448,0.04631
Nipsnap2,NIPSNAP2,O55126,NIPS2_MOUSE,Protein NipSnap homolog 2,8707,16517,tdTomato enriched,-0.99,0.01453,0.04639
Rps21,RPS21,Q9CQR2,RS21_MOUSE,40S ribosomal protein S21,14211,20979,tdTomato enriched,-0.55,0.01456,0.04645
Akr1a1,AKR1A1,Q9JII6,AK1A1_MOUSE,Aldo-keto reductase family 1 member A1,13162,25371,tdTomato enriched,-1.01,0.01460,0.04651
Agk,AGK,Q9ESW4,AGK_MOUSE,"Acylglycerol kinase, mitochondrial",14380,24727,tdTomato enriched,-0.83,0.01460,0.04651
Ddx5,DDX5,Q61656,DDX5_MOUSE,Probable ATP-dependent RNA helicase DDX5,16297,28667,tdTomato enriched,-0.87,0.01468,0.04672
Cct2,CCT2,P80314,TCPB_MOUSE,T-complex protein 1 subunit beta,17969,29425,tdTomato enriched,-0.76,0.01468,0.04672
Csnk2a2,CSNK2A2,O54833,CSK22_MOUSE,Casein kinase II subunit alpha',5631,9486,tdTomato enriched,-0.77,0.01471,0.04675
Actr3,ACTR3,Q99JY9,ARP3_MOUSE,Actin-related protein 3,20426,37054,tdTomato enriched,-0.92,0.01471,0.04675
Lsamp,LSAMP,Q8BLK3,LSAMP_MOUSE,Limbic system-associated membrane protein,16684,32934,tdTomato enriched,-1.08,0.01480,0.04694
Pgp,PGP,Q8CHP8,PGP_MOUSE,Glycerol-3-phosphate phosphatase,11450,20316,tdTomato enriched,-0.86,0.01484,0.04703
Pmpcb,PMPCB,Q9CXT8,MPPB_MOUSE,Mitochondrial-processing peptidase subunit beta,2497,4235,tdTomato enriched,-0.81,0.01490,0.04714
Ctsb,CTSB,P10605,CATB_MOUSE,Cathepsin B,22244,40506,tdTomato enriched,-0.92,0.01491,0.04714
Hspa9,HSPA9,P38647,GRP75_MOUSE,"Stress-70 protein, mitochondrial",34213,66684,tdTomato enriched,-1.05,0.01494,0.04721
Safb,SAFB,D3YXK2,SAFB1_MOUSE,Scaffold attachment factor B1,4370,6982,tdTomato enriched,-0.70,0.01499,0.04725
Wars1,NA,P32921,SYWC_MOUSE,"Tryptophan--tRNA ligase, cytoplasmic",15116,20850,tdTomato enriched,-0.47,0.01502,0.04726
Lap3,LAP3,Q9CPY7,AMPL_MOUSE,Cytosol aminopeptidase,6057,9830,tdTomato enriched,-0.72,0.01503,0.04726
Ndrg1,NDRG1,Q62433,NDRG1_MOUSE,Protein NDRG1,5376,10861,tdTomato enriched,-1.05,0.01510,0.04744
Echs1,ECHS1,Q8BH95,ECHM_MOUSE,"Enoyl-CoA hydratase, mitochondrial",12654,23096,tdTomato enriched,-0.93,0.01514,0.04754
Hnrnpab,HNRNPAB,Q99020,ROAA_MOUSE,Heterogeneous nuclear ribonucleoprotein A/B,5543,9480,tdTomato enriched,-0.79,0.01525,0.04783
Acaa1a,ACAA1,Q921H8,THIKA_MOUSE,"3-ketoacyl-CoA thiolase A, peroxisomal",4981,9541,tdTomato enriched,-1.01,0.01529,0.04788
Sod2,SOD2,P09671,SODM_MOUSE,"Superoxide dismutase [Mn], mitochondrial",34766,74762,tdTomato enriched,-1.22,0.01529,0.04788
Fam98b,FAM98B,Q80VD1,FA98B_MOUSE,Protein FAM98B,3114,5685,tdTomato enriched,-0.94,0.01530,0.04788
Etfb,ETFB,Q9DCW4,ETFB_MOUSE,Electron transfer flavoprotein subunit beta,14424,24633,tdTomato enriched,-0.82,0.01534,0.04794
Pdhx,PDHX,Q8BKZ9,ODPX_MOUSE,"Pyruvate dehydrogenase protein X component, mitochondrial",7372,13664,tdTomato enriched,-0.92,0.01549,0.04831
