Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Chmp2b,CHMP2B,Q8BJF9,CHM2B_MOUSE,Charged multivesicular body protein 2b,3706,NA,TurboID unique,NA,NA,NA
Nemf,NEMF,Q8CCP0,NEMF_MOUSE,Nuclear export mediator factor Nemf,3667,NA,TurboID unique,NA,NA,NA
Mpst,MPST,Q99J99,THTM_MOUSE,3-mercaptopyruvate sulfurtransferase,3650,NA,TurboID unique,NA,NA,NA
Mblac2,MBLAC2,Q8BL86,MBLC2_MOUSE,Metallo-beta-lactamase domain-containing protein 2,3600,NA,TurboID unique,NA,NA,NA
Prkar1b,PRKAR1B,P12849,KAP1_MOUSE,cAMP-dependent protein kinase type I-beta regulatory subunit,3586,NA,TurboID unique,NA,NA,NA
Pten,PTEN,O08586,PTEN_MOUSE,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",3548,NA,TurboID unique,NA,NA,NA
Pip5k1a,PIP5K1A,P70182,PI51A_MOUSE,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,3482,NA,TurboID unique,NA,NA,NA
Tcof1,TCOF1,O08784,TCOF_MOUSE,Treacle protein,3460,NA,TurboID unique,NA,NA,NA
Ppp1r12b,PPP1R12B,Q8BG95,MYPT2_MOUSE,Protein phosphatase 1 regulatory subunit 12B,3449,NA,TurboID unique,NA,NA,NA
Bet1,BET1,O35623,BET1_MOUSE,BET1 homolog,3280,NA,TurboID unique,NA,NA,NA
Tmem214,TMEM214,Q8BM55,TM214_MOUSE,Transmembrane protein 214,3217,NA,TurboID unique,NA,NA,NA
Adk,ADK,P55264,ADK_MOUSE,Adenosine kinase,3166,NA,TurboID unique,NA,NA,NA
Plxnc1,PLXNC1,Q9QZC2,PLXC1_MOUSE,Plexin-C1,3113,NA,TurboID unique,NA,NA,NA
Emb,EMB,P21995,EMB_MOUSE,Embigin,3042,NA,TurboID unique,NA,NA,NA
Ankrd27,ANKRD27,Q3UMR0,ANR27_MOUSE,Ankyrin repeat domain-containing protein 27,2792,NA,TurboID unique,NA,NA,NA
Nudt21,NUDT21,Q9CQF3,CPSF5_MOUSE,Cleavage and polyadenylation specificity factor subunit 5,2606,NA,TurboID unique,NA,NA,NA
Dhx8,DHX8,A2A4P0,DHX8_MOUSE,ATP-dependent RNA helicase DHX8,2383,NA,TurboID unique,NA,NA,NA
Slc4a4,SLC4A4,O88343,S4A4_MOUSE,Electrogenic sodium bicarbonate cotransporter 1,728406,51748,TurboID enriched,3.81,0.000062,0.029468
Slc44a1,SLC44A1,Q6X893,CTL1_MOUSE,Choline transporter-like protein 1,137470,10952,TurboID enriched,3.71,0.000097,0.029468
Snta1,SNTA1,Q61234,SNTA1_MOUSE,Alpha-1-syntrophin,145728,12685,TurboID enriched,3.53,0.000118,0.029468
Slc1a2,SLC1A2,P43006,EAA2_MOUSE,Excitatory amino acid transporter 2,4969496,282649,TurboID enriched,4.21,0.000118,0.029468
Slc25a4,SLC25A4,P48962,ADT1_MOUSE,ADP/ATP translocase 1,8316424,829535,TurboID enriched,3.39,0.000158,0.029468
Slc3a2,SLC3A2,P10852,4F2_MOUSE,4F2 cell-surface antigen heavy chain,611339,58972,TurboID enriched,3.42,0.000173,0.029468
Trp53i11,TP53I11,Q4QQM4,P5I11_MOUSE,Tumor protein p53-inducible protein 11,116859,9913,TurboID enriched,3.60,0.000199,0.029468
Plp1,PLP1,P60202,MYPR_MOUSE,Myelin proteolipid protein,13267396,1487241,TurboID enriched,3.17,0.000238,0.029468
Slc6a11,SLC6A11,P31650,S6A11_MOUSE,Sodium- and chloride-dependent GABA transporter 3,606552,72697,TurboID enriched,3.10,0.000238,0.029468
Lpgat1,LPGAT1,Q91YX5,LGAT1_MOUSE,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,43576,4488,TurboID enriched,3.34,0.000260,0.029468
Cldn10,CLDN10,Q9Z0S6,CLD10_MOUSE,Claudin-10,101749,10157,TurboID enriched,3.30,0.000291,0.029468
Gabrb2,GABRB2,P63137,GBRB2_MOUSE,Gamma-aminobutyric acid receptor subunit beta-2,69870,8328,TurboID enriched,3.07,0.000297,0.029468
Hepacam,HEPACAM,Q640R3,HECAM_MOUSE,Hepatocyte cell adhesion molecule,201684,21947,TurboID enriched,3.20,0.000305,0.029468
Nrxn1,NRXN1,Q9CS84,NRX1A_MOUSE,Neurexin-1,76528,9782,TurboID enriched,3.00,0.000381,0.029468
Myo6,MYO6,Q64331,MYO6_MOUSE,Unconventional myosin-VI,2395297,202820,TurboID enriched,3.80,0.000383,0.029468
Slc30a9,SLC30A9,Q5IRJ6,ZNT9_MOUSE,Zinc transporter 9,43178,6020,TurboID enriched,2.83,0.000464,0.029468
Mpc2,MPC2,Q9D023,MPC2_MOUSE,Mitochondrial pyruvate carrier 2,102608,13630,TurboID enriched,2.97,0.000467,0.029468
Stum,STUM,Q0VBF8,STUM_MOUSE,Protein stum homolog,113908,11758,TurboID enriched,3.44,0.000496,0.029468
Atp2b2,ATP2B2,Q9R0K7,AT2B2_MOUSE,Plasma membrane calcium-transporting ATPase 2,491171,69987,TurboID enriched,2.80,0.000500,0.029468
Gabra1,GABRA1,P62812,GBRA1_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-1,302089,40082,TurboID enriched,2.93,0.000512,0.029468
Rpn2,RPN2,Q9DBG6,RPN2_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,72626,10215,TurboID enriched,2.82,0.000517,0.029468
Slc38a3,SLC38A3,Q9DCP2,S38A3_MOUSE,Sodium-coupled neutral amino acid transporter 3,409815,26017,TurboID enriched,3.86,0.000526,0.029468
Acsl1,ACSL1,P41216,ACSL1_MOUSE,Long-chain-fatty-acid--CoA ligase 1,112976,15803,TurboID enriched,2.82,0.000548,0.029468
Gpm6b,GPM6B,P35803,GPM6B_MOUSE,Neuronal membrane glycoprotein M6-b,379623,45507,TurboID enriched,3.05,0.000585,0.029468
Sfxn3,SFXN3,Q91V61,SFXN3_MOUSE,Sideroflexin-3,518833,66392,TurboID enriched,3.00,0.000586,0.029468
Mtch2,MTCH2,Q791V5,MTCH2_MOUSE,Mitochondrial carrier homolog 2,263427,28279,TurboID enriched,3.21,0.000590,0.029468
Prkcb,PRKCB,P68404,KPCB_MOUSE,Protein kinase C beta type,210173,31574,TurboID enriched,2.71,0.000614,0.029468
Slc25a5,SLC25A5,P51881,ADT2_MOUSE,ADP/ATP translocase 2,2076179,233403,TurboID enriched,3.19,0.000634,0.029468
Cltc,CLTC,Q68FD5,CLH1_MOUSE,Clathrin heavy chain 1,769511,122319,TurboID enriched,2.68,0.000657,0.029468
Slc12a5,SLC12A5,Q91V14,S12A5_MOUSE,Solute carrier family 12 member 5,222533,29813,TurboID enriched,2.92,0.000665,0.029468
Slc8a2,SLC8A2,Q8K596,NAC2_MOUSE,Sodium/calcium exchanger 2,147130,19539,TurboID enriched,2.96,0.000677,0.029468
Atp2b1,ATP2B1,G5E829,AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1,363596,45790,TurboID enriched,3.00,0.000704,0.029468
Slc2a1,SLC2A1,P17809,GTR1_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 1",540454,85451,TurboID enriched,2.67,0.000711,0.029468
Kcnma1,KCNMA1,Q08460,KCMA1_MOUSE,Calcium-activated potassium channel subunit alpha-1,64266,10850,TurboID enriched,2.60,0.000746,0.029468
Slc25a3,SLC25A3,Q8VEM8,MPCP_MOUSE,"Phosphate carrier protein, mitochondrial",2295550,277134,TurboID enriched,2.99,0.000748,0.029468
Ap2m1,AP2M1,P84091,AP2M1_MOUSE,AP-2 complex subunit mu,842961,128820,TurboID enriched,2.76,0.000757,0.029468
Kcna1,KCNA1,P16388,KCNA1_MOUSE,Potassium voltage-gated channel subfamily A member 1,93879,11452,TurboID enriched,3.06,0.000764,0.029468
Dpp10,DPP10,Q6NXK7,DPP10_MOUSE,Inactive dipeptidyl peptidase 10,186206,29369,TurboID enriched,2.71,0.000767,0.029468
Atp1a2,ATP1A2,Q6PIE5,AT1A2_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-2,740235,102015,TurboID enriched,2.87,0.000828,0.029468
Gjc3,GJC3,Q921C1,CXG3_MOUSE,Gap junction gamma-3 protein,40461,1980,TurboID enriched,11.62,0.000844,0.029468
Rpl3,RPL3,P27659,RL3_MOUSE,60S ribosomal protein L3,79887,12174,TurboID enriched,2.83,0.000848,0.029468
Gria2,GRIA2,P23819,GRIA2_MOUSE,Glutamate receptor 2,209482,32179,TurboID enriched,2.74,0.000877,0.029468
Cldn11,CLDN11,Q60771,CLD11_MOUSE,Claudin-11,120152,15821,TurboID enriched,3.06,0.000908,0.029468
Maoa,MAOA,Q64133,AOFA_MOUSE,Amine oxidase [flavin-containing] A,125222,19745,TurboID enriched,2.66,0.000940,0.029468
Lgi1,LGI1,Q9JIA1,LGI1_MOUSE,Leucine-rich glioma-inactivated protein 1,245762,40164,TurboID enriched,2.58,0.000948,0.029468
Sfxn5,SFXN5,Q925N0,SFXN5_MOUSE,Sideroflexin-5,155396,20627,TurboID enriched,2.98,0.000970,0.029468
Slc25a22,SLC25A22,Q9D6M3,GHC1_MOUSE,Mitochondrial glutamate carrier 1,347305,51638,TurboID enriched,2.74,0.000970,0.029468
Ahcyl1,AHCYL1,Q80SW1,SAHH2_MOUSE,S-adenosylhomocysteine hydrolase-like protein 1,343349,42868,TurboID enriched,3.18,0.000971,0.029468
Mtch1,MTCH1,Q791T5,MTCH1_MOUSE,Mitochondrial carrier homolog 1,146890,22925,TurboID enriched,2.73,0.000977,0.029468
Opa3,OPA3,Q505D7,OPA3_MOUSE,Optic atrophy 3 protein homolog,64277,7665,TurboID enriched,3.26,0.000997,0.029468
Rac1,RAC1,P63001,RAC1_MOUSE,Ras-related C3 botulinum toxin substrate 1,325784,43586,TurboID enriched,3.00,0.001011,0.029468
Atp8a1,ATP8A1,P70704,AT8A1_MOUSE,Phospholipid-transporting ATPase IA,82519,14764,TurboID enriched,2.52,0.001013,0.029468
Cntnap1,CNTNAP1,O54991,CNTP1_MOUSE,Contactin-associated protein 1,94831,13678,TurboID enriched,2.79,0.001015,0.029468
Coro2b,CORO2B,Q8BH44,COR2B_MOUSE,Coronin-2B,70155,10642,TurboID enriched,2.79,0.001053,0.029468
Lsmem1,LSMEM1,Q3UQS2,LSME1_MOUSE,Leucine-rich single-pass membrane protein 1,673651,101187,TurboID enriched,2.68,0.001088,0.029468
Sv2b,SV2B,Q8BG39,SV2B_MOUSE,Synaptic vesicle glycoprotein 2B,254927,36830,TurboID enriched,2.92,0.001093,0.029468
Cadm4,CADM4,Q8R464,CADM4_MOUSE,Cell adhesion molecule 4,165281,19528,TurboID enriched,3.22,0.001110,0.029468
Rtn3,RTN3,Q9ES97,RTN3_MOUSE,Reticulon-3,219097,37953,TurboID enriched,2.58,0.001112,0.029468
Mog,MOG,Q61885,MOG_MOUSE,Myelin-oligodendrocyte glycoprotein,369818,56464,TurboID enriched,2.82,0.001137,0.029468
Add3,ADD3,Q9QYB5,ADDG_MOUSE,Gamma-adducin,123946,16891,TurboID enriched,3.03,0.001147,0.029468
Cnp,CNP,P16330,CN37_MOUSE,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",727749,109836,TurboID enriched,2.68,0.001170,0.029571
Atp6v0a1,ATP6V0A1,Q9Z1G4,VPP1_MOUSE,V-type proton ATPase 116 kDa subunit a1,639852,112660,TurboID enriched,2.52,0.001215,0.030207
Ncam1,NCAM1,P13595,NCAM1_MOUSE,Neural cell adhesion molecule 1,387468,68441,TurboID enriched,2.54,0.001332,0.031465
Rtn1,RTN1,Q8K0T0,RTN1_MOUSE,Reticulon-1,519961,92892,TurboID enriched,2.57,0.001395,0.031465
Sv2a,SV2A,Q9JIS5,SV2A_MOUSE,Synaptic vesicle glycoprotein 2A,322679,51367,TurboID enriched,2.67,0.001423,0.031465
Heph,HEPH,Q9Z0Z4,HEPH_MOUSE,Hephaestin,39075,3251,TurboID enriched,11.29,0.001524,0.031465
Ap2s1,AP2S1,P62743,AP2S1_MOUSE,AP-2 complex subunit sigma,615364,119523,TurboID enriched,2.44,0.001529,0.031465
Atp1a3,ATP1A3,Q6PIC6,AT1A3_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-3,5537003,612213,TurboID enriched,3.17,0.001652,0.031465
Hacd3,HACD3,Q8K2C9,HACD3_MOUSE,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,69610,14491,TurboID enriched,2.27,0.001691,0.031465
Ctnnb1,CTNNB1,Q02248,CTNB1_MOUSE,Catenin beta-1,55900,7726,TurboID enriched,2.86,0.001693,0.031465
Dagla,DAGLA,Q6WQJ1,DGLA_MOUSE,Diacylglycerol lipase-alpha,47386,4572,TurboID enriched,11.45,0.001721,0.031465
Abcb1a,ABCB1,P21447,MDR1A_MOUSE,ATP-dependent translocase ABCB1,54675,5111,TurboID enriched,11.58,0.001756,0.031465
Kcnj10,KCNJ10,Q9JM63,KCJ10_MOUSE,ATP-sensitive inward rectifier potassium channel 10,72374,6605,TurboID enriched,11.88,0.001773,0.031465
Rab3a,RAB3A,P63011,RAB3A_MOUSE,Ras-related protein Rab-3A,885842,152780,TurboID enriched,2.67,0.001806,0.031465
Slc8a1,SLC8A1,P70414,NAC1_MOUSE,Sodium/calcium exchanger 1,80348,13725,TurboID enriched,2.63,0.001834,0.031465
Reep5,REEP5,Q60870,REEP5_MOUSE,Receptor expression-enhancing protein 5,52953,7620,TurboID enriched,2.93,0.001861,0.031465
Rap2a,RAP2A,Q80ZJ1,RAP2A_MOUSE,Ras-related protein Rap-2a,42040,7861,TurboID enriched,2.48,0.001861,0.031465
Slc24a4,SLC24A4,Q8CGQ8,NCKX4_MOUSE,Sodium/potassium/calcium exchanger 4,55562,9979,TurboID enriched,2.65,0.001872,0.031465
Atp1a1,ATP1A1,Q8VDN2,AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1,1132388,196286,TurboID enriched,2.56,0.001873,0.031465
Sorcs2,SORCS2,Q9EPR5,SORC2_MOUSE,VPS10 domain-containing receptor SorCS2,25673,3358,TurboID enriched,10.71,0.002084,0.031465
Cds1,CDS1,P98191,CDS1_MOUSE,Phosphatidate cytidylyltransferase 1,33665,4290,TurboID enriched,11.00,0.002090,0.031465
Aoc3,AOC3,O70423,AOC3_MOUSE,Membrane primary amine oxidase,40419,4743,TurboID enriched,11.17,0.002104,0.031465
Ank2,ANK2,Q8C8R3,ANK2_MOUSE,Ankyrin-2,120378,23698,TurboID enriched,2.35,0.002147,0.031465
Slc6a1,SLC6A1,P31648,SC6A1_MOUSE,Sodium- and chloride-dependent GABA transporter 1,563988,106644,TurboID enriched,2.41,0.002196,0.031465
Unc13a,UNC13A,Q4KUS2,UN13A_MOUSE,Protein unc-13 homolog A,25000,3415,TurboID enriched,10.65,0.002201,0.031465
Slc25a11,SLC25A11,Q9CR62,M2OM_MOUSE,Mitochondrial 2-oxoglutarate/malate carrier protein,383649,74561,TurboID enriched,2.36,0.002231,0.031465
Adcy5,ADCY5,P84309,ADCY5_MOUSE,Adenylate cyclase type 5,33087,4396,TurboID enriched,10.93,0.002255,0.031465
Kcnc3,KCNC3,Q63959,KCNC3_MOUSE,Potassium voltage-gated channel subfamily C member 3,33071,4485,TurboID enriched,10.94,0.002258,0.031465
Nf2,NF2,P46662,MERL_MOUSE,Merlin,19962,3022,TurboID enriched,10.41,0.002276,0.031465
Flot2,FLOT2,Q60634,FLOT2_MOUSE,Flotillin-2,57074,7136,TurboID enriched,11.49,0.002297,0.031465
Rab3c,RAB3C,P62823,RAB3C_MOUSE,Ras-related protein Rab-3C,183628,32684,TurboID enriched,2.66,0.002300,0.031465
Endod1,ENDOD1,Q8C522,ENDD1_MOUSE,Endonuclease domain-containing 1 protein,86412,15576,TurboID enriched,2.53,0.002324,0.031465
Hcn1,HCN1,O88704,HCN1_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,41163,5480,TurboID enriched,11.14,0.002326,0.031465
Arpc1a,ARPC1A,Q9R0Q6,ARC1A_MOUSE,Actin-related protein 2/3 complex subunit 1A,131492,26277,TurboID enriched,2.38,0.002327,0.031465
Acsl6,ACSL6,Q91WC3,ACSL6_MOUSE,Long-chain-fatty-acid--CoA ligase 6,118576,20141,TurboID enriched,2.62,0.002332,0.031465
Prkcg,PRKCG,P63318,KPCG_MOUSE,Protein kinase C gamma type,112837,19795,TurboID enriched,2.56,0.002333,0.031465
Rftn2,RFTN2,Q8CHX7,RFTN2_MOUSE,Raftlin-2,25343,3667,TurboID enriched,10.63,0.002353,0.031465
Atp2b4,ATP2B4,Q6Q477,AT2B4_MOUSE,Plasma membrane calcium-transporting ATPase 4,98279,18329,TurboID enriched,2.40,0.002365,0.031465
Kcna2,KCNA2,P63141,KCNA2_MOUSE,Potassium voltage-gated channel subfamily A member 2,18354,2913,TurboID enriched,10.30,0.002371,0.031465
Rab3b,RAB3B,Q9CZT8,RAB3B_MOUSE,Ras-related protein Rab-3B,78151,9549,TurboID enriched,11.80,0.002374,0.031465
Nomo1,NOMO1,Q6GQT9,NOMO1_MOUSE,Nodal modulator 1,32411,4676,TurboID enriched,10.89,0.002382,0.031465
Abcb7,ABCB7,Q61102,ABCB7_MOUSE,"Iron-sulfur clusters transporter ABCB7, mitochondrial",62929,14247,TurboID enriched,2.17,0.002386,0.031465
Plpp3,PLPP3,Q99JY8,PLPP3_MOUSE,Phospholipid phosphatase 3,147469,16141,TurboID enriched,12.44,0.002399,0.031465
Epb41l2,EPB41L2,O70318,E41L2_MOUSE,Band 4.1-like protein 2,111557,20903,TurboID enriched,2.48,0.002429,0.031465
Gnai1,GNAI1,B2RSH2,GNAI1_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-1,111139,17865,TurboID enriched,2.57,0.002448,0.031465
Mcu,MCU,Q3UMR5,MCU_MOUSE,"Calcium uniporter protein, mitochondrial",94260,17289,TurboID enriched,2.57,0.002453,0.031465
Agpat4,AGPAT4,Q8K4X7,PLCD_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,47914,6651,TurboID enriched,11.27,0.002460,0.031465
Xkr4,XKR4,Q5GH67,XKR4_MOUSE,XK-related protein 4,19245,3118,TurboID enriched,10.30,0.002531,0.031465
Slc30a3,SLC30A3,P97441,ZNT3_MOUSE,Zinc transporter 3,64406,11844,TurboID enriched,2.63,0.002615,0.031465
Amot,AMOT,Q8VHG2,AMOT_MOUSE,Angiomotin,60571,8776,TurboID enriched,11.47,0.002661,0.031465
Erbin,ERBIN,Q80TH2,ERBIN_MOUSE,Erbin,33134,5311,TurboID enriched,10.84,0.002684,0.031465
Tln1,TLN1,P26039,TLN1_MOUSE,Talin-1,26563,4648,TurboID enriched,10.62,0.002731,0.031465
Acsl3,ACSL3,Q9CZW4,ACSL3_MOUSE,Long-chain-fatty-acid--CoA ligase 3,55596,8941,TurboID enriched,11.37,0.002784,0.031465
Dock7,DOCK7,Q8R1A4,DOCK7_MOUSE,Dedicator of cytokinesis protein 7,37059,6423,TurboID enriched,10.94,0.002833,0.031465
Cntn1,CNTN1,P12960,CNTN1_MOUSE,Contactin-1,127690,23195,TurboID enriched,2.48,0.002835,0.031465
Dad1,DAD1,P61804,DAD1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,63790,9628,TurboID enriched,11.46,0.002874,0.031465
S1pr1,S1PR1,O08530,S1PR1_MOUSE,Sphingosine 1-phosphate receptor 1,42754,7210,TurboID enriched,11.06,0.002893,0.031465
Epb41l3,EPB41L3,Q9WV92,E41L3_MOUSE,Band 4.1-like protein 3,114414,23365,TurboID enriched,2.31,0.002906,0.031465
Itgb1,ITGB1,P09055,ITB1_MOUSE,Integrin beta-1,15218,2635,TurboID enriched,9.96,0.002908,0.031465
P2ry12,P2RY12,Q9CPV9,P2Y12_MOUSE,P2Y purinoceptor 12,52476,8641,TurboID enriched,11.26,0.002943,0.031465
Dhrs4,DHRS4,Q99LB2,DHRS4_MOUSE,Dehydrogenase/reductase SDR family member 4,13761,2318,TurboID enriched,9.80,0.002992,0.031465
Sipa1l1,SIPA1L1,Q8C0T5,SI1L1_MOUSE,Signal-induced proliferation-associated 1-like protein 1,25600,4958,TurboID enriched,10.52,0.003019,0.031465
Jam3,JAM3,Q9D8B7,JAM3_MOUSE,Junctional adhesion molecule C,42906,7210,TurboID enriched,11.02,0.003032,0.031465
Rab15,RAB15,Q8K386,RAB15_MOUSE,Ras-related protein Rab-15,25918,4977,TurboID enriched,10.51,0.003093,0.031465
Ngef,NGEF,Q8CHT1,NGEF_MOUSE,Ephexin-1,30666,5838,TurboID enriched,10.68,0.003103,0.031465
Rab10,RAB10,P61027,RAB10_MOUSE,Ras-related protein Rab-10,101346,21884,TurboID enriched,2.26,0.003121,0.031465
Acot11,ACOT11,Q8VHQ9,ACO11_MOUSE,Acyl-coenzyme A thioesterase 11,19820,3579,TurboID enriched,10.20,0.003125,0.031465
Prkca,PRKCA,P20444,KPCA_MOUSE,Protein kinase C alpha type,63375,10417,TurboID enriched,11.40,0.003129,0.031465
Rbm41,RBM41,Q8JZV4,RBM41_MOUSE,RNA-binding protein 41,155805,24961,TurboID enriched,12.36,0.003134,0.031465
Tsc22d4,TSC22D4,Q9EQN3,T22D4_MOUSE,TSC22 domain family protein 4,115662,17113,TurboID enriched,12.00,0.003136,0.031465
Hsd17b12,HSD17B12,O70503,DHB12_MOUSE,Very-long-chain 3-oxoacyl-CoA reductase,42193,7451,TurboID enriched,10.99,0.003136,0.031465
Sorl1,SORL1,O88307,SORL_MOUSE,Sortilin-related receptor,14181,3072,TurboID enriched,9.88,0.003196,0.031465
Add1,ADD1,Q9QYC0,ADDA_MOUSE,Alpha-adducin,119115,23342,TurboID enriched,2.46,0.003205,0.031465
Ank1,ANK1,Q02357,ANK1_MOUSE,Ankyrin-1,26576,5524,TurboID enriched,10.53,0.003207,0.031465
Slc2a3,SLC2A3,P32037,GTR3_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 3",119846,25841,TurboID enriched,2.19,0.003211,0.031465
Praf2,PRAF2,Q9JIG8,PRAF2_MOUSE,PRA1 family protein 2,151949,25921,TurboID enriched,2.73,0.003215,0.031465
Cacng3,CACNG3,Q9JJV5,CCG3_MOUSE,Voltage-dependent calcium channel gamma-3 subunit,87200,14828,TurboID enriched,11.72,0.003236,0.031465
Ryr2,RYR2,E9Q401,RYR2_MOUSE,Ryanodine receptor 2,32038,6655,TurboID enriched,10.72,0.003245,0.031465
Itsn1,ITSN1,Q9Z0R4,ITSN1_MOUSE,Intersectin-1,41767,8201,TurboID enriched,10.98,0.003263,0.031465
Fam171b,FAM171B,Q14CH0,F171B_MOUSE,Protein FAM171B,32264,6468,TurboID enriched,10.70,0.003279,0.031465
Abcb8,ABCB8,Q9CXJ4,MITOS_MOUSE,Mitochondrial potassium channel ATP-binding subunit,56409,11016,TurboID enriched,11.29,0.003301,0.031465
Slc17a7,SLC17A7,Q3TXX4,VGLU1_MOUSE,Vesicular glutamate transporter 1,535424,96496,TurboID enriched,2.48,0.003333,0.031465
Slc27a4,SLC27A4,Q91VE0,S27A4_MOUSE,Long-chain fatty acid transport protein 4,54755,13725,TurboID enriched,1.98,0.003346,0.031465
Dmac1,DMAC1,Q9CQ00,DMAC1_MOUSE,Distal membrane-arm assembly complex protein 1,24675,5143,TurboID enriched,10.41,0.003352,0.031465
Nrxn3,NRXN3,Q6P9K9,NRX3A_MOUSE,Neurexin-3,43492,8859,TurboID enriched,11.00,0.003373,0.031465
Fmo1,FMO1,P50285,FMO1_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 1,24216,4902,TurboID enriched,10.37,0.003373,0.031465
Coro2a,CORO2A,Q8C0P5,COR2A_MOUSE,Coronin-2A,41527,8569,TurboID enriched,10.95,0.003401,0.031465
Gja1,GJA1,P23242,CXA1_MOUSE,Gap junction alpha-1 protein,82402,18912,TurboID enriched,2.13,0.003410,0.031465
Sdha,SDHA,Q8K2B3,SDHA_MOUSE,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",99745,17029,TurboID enriched,2.51,0.003423,0.031465
Myadm,MYADM,O35682,MYADM_MOUSE,Myeloid-associated differentiation marker,37425,7797,TurboID enriched,10.84,0.003426,0.031465
Slc25a1,SLC25A1,Q8JZU2,TXTP_MOUSE,"Tricarboxylate transport protein, mitochondrial",53651,10856,TurboID enriched,11.19,0.003479,0.031465
Aqp4,AQP4,P55088,AQP4_MOUSE,Aquaporin-4,465098,105325,TurboID enriched,2.15,0.003538,0.031465
Slc25a12,SLC25A12,Q8BH59,CMC1_MOUSE,Calcium-binding mitochondrial carrier protein Aralar1,190570,32756,TurboID enriched,2.46,0.003539,0.031465
Stt3a,STT3A,P46978,STT3A_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,41410,9107,TurboID enriched,10.93,0.003542,0.031465
C2cd2l,C2CD2L,Q80X80,C2C2L_MOUSE,Phospholipid transfer protein C2CD2L,13219,3171,TurboID enriched,9.74,0.003592,0.031465
Adcy9,ADCY9,P51830,ADCY9_MOUSE,Adenylate cyclase type 9,58943,12739,TurboID enriched,11.27,0.003639,0.031465
Acsbg1,ACSBG1,Q99PU5,ACBG1_MOUSE,Long-chain-fatty-acid--CoA ligase ACSBG1,51100,11126,TurboID enriched,11.11,0.003665,0.031465
Rab33b,RAB33B,O35963,RB33B_MOUSE,Ras-related protein Rab-33B,273535,53417,TurboID enriched,2.53,0.003668,0.031465
Ncln,NCLN,Q8VCM8,NCLN_MOUSE,Nicalin,20966,5178,TurboID enriched,10.22,0.003672,0.031465
Vps26b,VPS26B,Q8C0E2,VP26B_MOUSE,Vacuolar protein sorting-associated protein 26B,28554,6843,TurboID enriched,10.53,0.003699,0.031465
Letmd1,LETMD1,Q924L1,LTMD1_MOUSE,LETM1 domain-containing protein 1,29360,7038,TurboID enriched,10.54,0.003768,0.031465
Rps27,RPS27,Q6ZWU9,RS27_MOUSE,40S ribosomal protein S27,53239,10262,TurboID enriched,2.68,0.003775,0.031465
Mtdh,MTDH,Q80WJ7,LYRIC_MOUSE,Protein LYRIC,47148,10611,TurboID enriched,11.01,0.003782,0.031465
Dlg3,DLG3,P70175,DLG3_MOUSE,Disks large homolog 3,17532,4327,TurboID enriched,9.99,0.003818,0.031465
Rab8b,RAB8B,P61028,RAB8B_MOUSE,Ras-related protein Rab-8B,47007,10565,TurboID enriched,10.99,0.003824,0.031465
Atp1b3,ATP1B3,P97370,AT1B3_MOUSE,Sodium/potassium-transporting ATPase subunit beta-3,18311,4423,TurboID enriched,10.03,0.003825,0.031465
Slc44a2,SLC44A2,Q8BY89,CTL2_MOUSE,Choline transporter-like protein 2,64188,13787,TurboID enriched,11.30,0.003829,0.031465
Rpl13a,RPL13A,P19253,RL13A_MOUSE,60S ribosomal protein L13a,40553,9684,TurboID enriched,10.86,0.003843,0.031465
Slc17a6,SLC17A6,Q8BLE7,VGLU2_MOUSE,Vesicular glutamate transporter 2,82577,18177,TurboID enriched,11.57,0.003865,0.031465
Gdap1,GDAP1,O88741,GDAP1_MOUSE,Ganglioside-induced differentiation-associated protein 1,39125,8931,TurboID enriched,10.79,0.003881,0.031465
Etfdh,ETFDH,Q921G7,ETFD_MOUSE,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",29874,6874,TurboID enriched,10.50,0.003886,0.031465
