Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Mff,MFF,Q6PCP5,MFF_MOUSE,Mitochondrial fission factor,9664,9325,No,0.08,0.749553,0.999933
Mfn1,MFN1,Q811U4,MFN1_MOUSE,Mitofusin-1,7764,7993,No,-0.02,0.945789,0.999933
Mfn2,MFN2,Q80U63,MFN2_MOUSE,Mitofusin-2,54187,51727,No,0.10,0.681436,0.999933
Mfsd4a,MFSD4A,Q6PDC8,MFD4A_MOUSE,Major facilitator superfamily domain-containing protein 4A,5969,7777,No,-0.37,0.433353,0.999933
Mfsd6,MFSD6,Q8CBH5,MFSD6_MOUSE,Major facilitator superfamily domain-containing protein 6,24262,26317,No,-0.12,0.642728,0.999933
Mgll,MGLL,O35678,MGLL_MOUSE,Monoglyceride lipase,15041,11999,No,0.41,0.278603,0.999933
Mgst1,MGST1,Q91VS7,MGST1_MOUSE,Microsomal glutathione S-transferase 1,10458,9707,No,0.31,0.526740,0.999933
Mgst3,MGST3,Q9CPU4,MGST3_MOUSE,Microsomal glutathione S-transferase 3,73159,83074,No,-0.05,0.882948,0.999933
Mical1,MICAL1,Q8VDP3,MICA1_MOUSE,[F-actin]-monooxygenase MICAL1,21486,21855,No,0.03,0.897988,0.999933
Mical3,MICAL3,Q8CJ19,MICA3_MOUSE,[F-actin]-monooxygenase MICAL3,35549,33503,No,0.09,0.637906,0.999933
Micall2,MICALL2,Q3TN34,MILK2_MOUSE,MICAL-like protein 2,6601,5564,No,0.21,0.413546,0.999933
Micos13,NA,Q8R404,MIC13_MOUSE,MICOS complex subunit MIC13,10922,10411,No,0.03,0.922713,0.999933
Micu1,MICU1,Q8VCX5,MICU1_MOUSE,"Calcium uptake protein 1, mitochondrial",7995,8484,No,-0.14,0.654397,0.999933
Micu3,MICU3,Q9CTY5,MICU3_MOUSE,"Calcium uptake protein 3, mitochondrial",10183,8280,No,0.36,0.197879,0.999933
Mif,MIF,P34884,MIF_MOUSE,Macrophage migration inhibitory factor,11330,12592,No,-0.05,0.916291,0.999933
Mink1,MINK1,Q9JM52,MINK1_MOUSE,Misshapen-like kinase 1,30600,28896,No,0.08,0.716918,0.999933
Mios,MIOS,Q8VE19,MIO_MOUSE,GATOR complex protein MIOS,10164,10756,No,-0.12,0.726322,0.999933
Mlc1,MLC1,Q8VHK5,MLC1_MOUSE,Membrane protein MLC1,29315,22618,No,0.47,0.144609,0.999933
Mlec,MLEC,Q6ZQI3,MLEC_MOUSE,Malectin,46317,42769,No,0.12,0.632016,0.999933
Mmut,NA,P16332,MUTA_MOUSE,"Methylmalonyl-CoA mutase, mitochondrial",3023,3190,No,-0.08,0.836667,0.999933
Mobp,MOBP,Q9D2P8,MOBP_MOUSE,Myelin-associated oligodendrocyte basic protein,16937,11352,No,0.55,0.050698,0.999933
Mog,MOG,Q61885,MOG_MOUSE,Myelin-oligodendrocyte glycoprotein,326970,326937,No,-0.05,0.851166,0.999933
Mogs,MOGS,Q80UM7,MOGS_MOUSE,Mannosyl-oligosaccharide glucosidase,13453,17660,No,-0.35,0.202615,0.999933
Mon2,MON2,Q80TL7,MON2_MOUSE,Protein MON2 homolog,10471,9401,No,0.16,0.530851,0.999933
Mpc1,MPC1,P63030,MPC1_MOUSE,Mitochondrial pyruvate carrier 1,32395,31414,No,0.07,0.771551,0.999933
Mpc2,MPC2,Q9D023,MPC2_MOUSE,Mitochondrial pyruvate carrier 2,95011,86089,No,0.14,0.520392,0.999933
Mpdu1,MPDU1,Q9R0Q9,MPU1_MOUSE,Mannose-P-dolichol utilization defect 1 protein,20940,19724,No,0.07,0.889919,0.999933
Mpdz,MPDZ,Q8VBX6,MPDZ_MOUSE,Multiple PDZ domain protein,10822,10876,No,0.02,0.942818,0.999933
Mpi,MPI,Q924M7,MPI_MOUSE,Mannose-6-phosphate isomerase,8352,6150,No,0.31,0.400242,0.999933
Mpo,MPO,P11247,PERM_MOUSE,Myeloperoxidase,80645,7433,No,1.75,0.234814,0.999933
Mpp2,MPP2,Q9WV34,MPP2_MOUSE,MAGUK p55 subfamily member 2,17731,17005,No,0.09,0.735001,0.999933
Mprip,MPRIP,P97434,MPRIP_MOUSE,Myosin phosphatase Rho-interacting protein,7189,6068,No,0.28,0.278434,0.999933
Mpv17,MPV17,P19258,MPV17_MOUSE,Protein Mpv17,13093,10372,No,0.25,0.430258,0.999933
Mrps17,MRPS17,Q9CQE3,RT17_MOUSE,"28S ribosomal protein S17, mitochondrial",3247,4663,No,-0.51,0.196288,0.999933
Mrs2,MRS2,Q5NCE8,MRS2_MOUSE,"Magnesium transporter MRS2 homolog, mitochondrial",34349,34681,No,-0.03,0.884433,0.999933
Msmo1,MSMO1,Q9CRA4,MSMO1_MOUSE,Methylsterol monooxygenase 1,18434,17045,No,0.14,0.553748,0.999933
Msn,MSN,P26041,MOES_MOUSE,Moesin,24527,36170,No,-0.54,0.087346,0.999933
Msra,MSRA,Q9D6Y7,MSRA_MOUSE,Mitochondrial peptide methionine sulfoxide reductase,4573,4595,No,-0.01,0.977349,0.999933
mt-Co3,NA,P00416,COX3_MOUSE,Cytochrome c oxidase subunit 3,10129,9162,No,0.32,0.474420,0.999933
Mt-Cyb,NA,P00158,CYB_MOUSE,Cytochrome b,13056,12277,No,0.25,0.570082,0.999933
Mtap,MTAP,Q9CQ65,MTAP_MOUSE,S-methyl-5'-thioadenosine phosphorylase,16458,7490,No,0.96,0.064243,0.999933
Mtarc2,NA,Q922Q1,MARC2_MOUSE,Mitochondrial amidoxime reducing component 2,33238,29428,No,0.24,0.394092,0.999933
Mtatp8,NA,P03930,ATP8_MOUSE,ATP synthase protein 8,28684,31544,No,-0.17,0.583708,0.999933
Mtch1,MTCH1,Q791T5,MTCH1_MOUSE,Mitochondrial carrier homolog 1,139525,126209,No,0.17,0.452241,0.999933
Mtch2,MTCH2,Q791V5,MTCH2_MOUSE,Mitochondrial carrier homolog 2,252819,230356,No,0.17,0.547696,0.999933
Mtco1,NA,P00397,COX1_MOUSE,Cytochrome c oxidase subunit 1,190122,158269,No,0.45,0.564711,0.999933
Mtco2,NA,P00405,COX2_MOUSE,Cytochrome c oxidase subunit 2,60272,65859,No,0.06,0.907953,0.999933
Mtdh,MTDH,Q80WJ7,LYRIC_MOUSE,Protein LYRIC,41951,38157,No,0.16,0.546771,0.999933
Mtfp1,MTFP1,Q9CRB8,MTFP1_MOUSE,Mitochondrial fission process protein 1,25295,24557,No,0.07,0.844343,0.999933
Mtfr1l,MTFR1L,Q9CWE0,MFR1L_MOUSE,Mitochondrial fission regulator 1-like,20925,21975,No,-0.05,0.885758,0.999933
Mthfd1,MTHFD1,Q922D8,C1TC_MOUSE,"C-1-tetrahydrofolate synthase, cytoplasmic",7014,5551,No,0.37,0.198434,0.999933
Mthfd1l,MTHFD1L,Q3V3R1,C1TM_MOUSE,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",7545,7174,No,0.13,0.675924,0.999933
Mtmr2,MTMR2,Q9Z2D1,MTMR2_MOUSE,Myotubularin-related protein 2,5947,5493,No,0.17,0.519596,0.999933
Mtmr6,MTMR6,Q8VE11,MTMR6_MOUSE,Myotubularin-related protein 6,6753,6052,No,0.21,0.461317,0.999933
Mtnd1,NA,P03888,NU1M_MOUSE,NADH-ubiquinone oxidoreductase chain 1,39069,34017,No,0.21,0.354772,0.999933
Mtnd2,NA,P03893,NU2M_MOUSE,NADH-ubiquinone oxidoreductase chain 2,4969,5424,No,-0.20,0.614587,0.999933
Mtnd3,NA,P03899,NU3M_MOUSE,NADH-ubiquinone oxidoreductase chain 3,9988,11906,No,-0.23,0.496456,0.999933
Mtnd4,NA,P03911,NU4M_MOUSE,NADH-ubiquinone oxidoreductase chain 4,67693,61384,No,0.08,0.847892,0.999933
Mtnd5,NA,P03921,NU5M_MOUSE,NADH-ubiquinone oxidoreductase chain 5,37558,37685,No,0.18,0.825936,0.999933
Mtor,MTOR,Q9JLN9,MTOR_MOUSE,Serine/threonine-protein kinase mTOR,6187,9612,No,-0.42,0.347336,0.999933
Mtrf1,MTRF1,Q8K126,RF1M_MOUSE,"Peptide chain release factor 1, mitochondrial",5997,7077,No,-0.23,0.389121,0.999933
Mtss2,NA,Q6P9S0,MTSS2_MOUSE,Protein MTSS 2,12738,14996,No,-0.23,0.324367,0.999933
Mtx1,MTX1,P47802,MTX1_MOUSE,Metaxin-1,8758,12375,No,-0.57,0.174826,0.999933
Mvb12b,MVB12B,Q6KAU4,MB12B_MOUSE,Multivesicular body subunit 12B,3804,3374,No,0.26,0.611014,0.999933
Myadm,MYADM,O35682,MYADM_MOUSE,Myeloid-associated differentiation marker,30369,29491,No,0.01,0.981525,0.999933
Mycbp2,MYCBP2,Q7TPH6,MYCB2_MOUSE,E3 ubiquitin-protein ligase MYCBP2,11225,9678,No,0.24,0.305334,0.999933
Mydgf,MYDGF,Q9CPT4,MYDGF_MOUSE,Myeloid-derived growth factor,5250,5024,No,0.07,0.810280,0.999933
Myef2,MYEF2,Q8C854,MYEF2_MOUSE,Myelin expression factor 2,3838,6128,No,-0.72,0.073950,0.999933
Myh10,MYH10,Q61879,MYH10_MOUSE,Myosin-10,16900,9172,Up with LPS,0.88,0.010797,0.999933
Myh14,MYH14,Q6URW6,MYH14_MOUSE,Myosin-14,17502,12898,No,0.46,0.057275,0.999933
Myh9,MYH9,Q8VDD5,MYH9_MOUSE,Myosin-9,19336,13058,Up with LPS,0.52,0.041038,0.999933
Myl12b,MYL12A,Q3THE2,ML12B_MOUSE,Myosin regulatory light chain 12B,8360,8177,No,0.02,0.934090,0.999933
Myl6,MYL6,Q60605,MYL6_MOUSE,Myosin light polypeptide 6,12362,12631,No,0.06,0.842573,0.999933
Myo18a,MYO18A,Q9JMH9,MY18A_MOUSE,Unconventional myosin-XVIIIa,14743,11478,No,0.37,0.160285,0.999933
Myo1b,MYO1B,P46735,MYO1B_MOUSE,Unconventional myosin-Ib,10899,7880,No,0.47,0.079922,0.999933
Myo1c,MYO1C,Q9WTI7,MYO1C_MOUSE,Unconventional myosin-Ic,38653,33971,No,0.13,0.631220,0.999933
Myo1d,MYO1D,Q5SYD0,MYO1D_MOUSE,Unconventional myosin-Id,19221,13198,No,0.51,0.129523,0.999933
Myo1e,MYO1E,E9Q634,MYO1E_MOUSE,Unconventional myosin-Ie,3831,3208,No,0.29,0.373972,0.999933
Myo5a,MYO5A,Q99104,MYO5A_MOUSE,Unconventional myosin-Va,160520,115165,Up with LPS,0.47,0.040521,0.999933
Myo6,MYO6,Q64331,MYO6_MOUSE,Unconventional myosin-VI,1928252,1770876,No,0.11,0.642425,0.999933
Myo9b,MYO9B,Q9QY06,MYO9B_MOUSE,Unconventional myosin-IXb,226772,292894,No,-0.01,0.984581,0.999933
Myof,MYOF,Q69ZN7,MYOF_MOUSE,Myoferlin,11976,10701,No,-0.02,0.960264,0.999933
Nadk2,NADK2,Q8C5H8,NAKD2_MOUSE,"NAD kinase 2, mitochondrial",5632,6780,No,-0.19,0.719201,0.999933
Nap1l4,NAP1L4,Q78ZA7,NP1L4_MOUSE,Nucleosome assembly protein 1-like 4,7577,7975,No,-0.06,0.815476,0.999933
Napa,NAPA,Q9DB05,SNAA_MOUSE,Alpha-soluble NSF attachment protein,7517,10036,No,-0.34,0.276658,0.999933
Napb,NAPB,P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,12583,16439,No,-0.30,0.326919,0.999933
Napg,NAPG,Q9CWZ7,SNAG_MOUSE,Gamma-soluble NSF attachment protein,9961,13561,No,-0.37,0.244599,0.999933
NARS1,NA,Q8BP47,SYNC_MOUSE,"Asparagine--tRNA ligase, cytoplasmic",7394,6130,No,0.22,0.483967,0.999933
Nat14,NAT14,Q8BVG8,NAT14_MOUSE,N-acetyltransferase 14,12650,9238,No,0.56,0.095917,0.999933
Nat8l,NAT8L,Q3UGX3,NAT8L_MOUSE,N-acetylaspartate synthetase,19199,16179,No,0.21,0.565574,0.999933
Naxd,NAXD,Q9CZ42,NNRD_MOUSE,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,4150,5258,No,-0.31,0.416656,0.999933
Naxe,NAXE,Q8K4Z3,NNRE_MOUSE,NAD(P)H-hydrate epimerase,9839,12399,No,-0.22,0.580227,0.999933
Nbea,NBEA,Q9EPN1,NBEA_MOUSE,Neurobeachin,21619,20162,No,0.10,0.639726,0.999933
Ncald,NCALD,Q91X97,NCALD_MOUSE,Neurocalcin-delta,40813,44407,No,-0.15,0.556623,0.999933
Ncam1,NCAM1,P13595,NCAM1_MOUSE,Neural cell adhesion molecule 1,327994,340115,No,-0.04,0.867090,0.999933
Ncam2,NCAM2,O35136,NCAM2_MOUSE,Neural cell adhesion molecule 2,79286,77004,No,0.09,0.704534,0.999933
Ncan,NCAN,P55066,NCAN_MOUSE,Neurocan core protein,14596,11173,No,0.41,0.141817,0.999933
Nccrp1,NCCRP1,G3X9C2,FBX50_MOUSE,F-box only protein 50,32957,25078,No,0.47,0.333774,0.999933
Ncdn,NCDN,Q9Z0E0,NCDN_MOUSE,Neurochondrin,18619,19058,No,0.00,0.994330,0.999933
Nceh1,NCEH1,Q8BLF1,NCEH1_MOUSE,Neutral cholesterol ester hydrolase 1,46278,40932,No,0.22,0.391352,0.999933
Nck1,NCK1,Q99M51,NCK1_MOUSE,Cytoplasmic protein NCK1,10694,11244,No,-0.22,0.570813,0.999933
Nckap1,NCKAP1,P28660,NCKP1_MOUSE,Nck-associated protein 1,58161,54320,No,0.10,0.687537,0.999933
Nckipsd,NCKIPSD,Q9ESJ4,SPN90_MOUSE,NCK-interacting protein with SH3 domain,18153,17603,No,0.07,0.753220,0.999933
Ncl,NCL,P09405,NUCL_MOUSE,Nucleolin,8470,9046,No,-0.01,0.961249,0.999933
Ncln,NCLN,Q8VCM8,NCLN_MOUSE,Nicalin,17868,15553,No,0.22,0.322020,0.999933
Ndc1,NDC1,Q8VCB1,NDC1_MOUSE,Nucleoporin NDC1,34234,25451,No,0.51,0.371665,0.999933
Ndrg1,NDRG1,Q62433,NDRG1_MOUSE,Protein NDRG1,5364,6858,No,-0.24,0.544451,0.999933
Ndrg2,NDRG2,Q9QYG0,NDRG2_MOUSE,Protein NDRG2,98817,92921,No,0.16,0.582933,0.999933
Ndrg3,NDRG3,Q9QYF9,NDRG3_MOUSE,Protein NDRG3,18273,17236,No,0.13,0.675347,0.999933
Ndrg4,NDRG4,Q8BTG7,NDRG4_MOUSE,Protein NDRG4,10747,8062,No,0.42,0.148246,0.999933
Ndufa1,NDUFA1,O35683,NDUA1_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,36912,42562,No,-0.22,0.636229,0.999933
Ndufa10,NDUFA10,Q99LC3,NDUAA_MOUSE,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",15747,18575,No,-0.17,0.551746,0.999933
Ndufa11,NDUFA11,Q9D8B4,NDUAB_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,40008,42378,No,-0.05,0.883665,0.999933
Ndufa12,NDUFA12,Q7TMF3,NDUAC_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,17088,18738,No,-0.08,0.770033,0.999933
Ndufa13,NDUFA13,Q9ERS2,NDUAD_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,17846,22073,No,-0.32,0.341166,0.999933
Ndufa2,NDUFA2,Q9CQ75,NDUA2_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,7184,9465,No,-0.25,0.495768,0.999933
Ndufa3,NDUFA3,Q9CQ91,NDUA3_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,23246,27030,No,-0.14,0.708801,0.999933
Ndufa4,NDUFA4,Q62425,NDUA4_MOUSE,Cytochrome c oxidase subunit NDUFA4,116912,137785,No,-0.34,0.258369,0.999933
Ndufa5,NDUFA5,Q9CPP6,NDUA5_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,6564,7523,No,-0.24,0.384067,0.999933
Ndufa6,NDUFA6,Q9CQZ5,NDUA6_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,7290,8002,No,-0.06,0.852986,0.999933
Ndufa7,NDUFA7,Q9Z1P6,NDUA7_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,10573,9212,No,0.23,0.288652,0.999933
Ndufa8,NDUFA8,Q9DCJ5,NDUA8_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,8206,10345,No,-0.40,0.378009,0.999933
Ndufa9,NDUFA9,Q9DC69,NDUA9_MOUSE,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",79999,60212,No,0.45,0.227872,0.999933
Ndufb1,NA,P0DN34,NDUB1_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,8666,8578,No,0.04,0.934119,0.999933
Ndufb10,NDUFB10,Q9DCS9,NDUBA_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,14297,15431,No,-0.14,0.729555,0.999933
Ndufb11,NDUFB11,O09111,NDUBB_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",74955,85740,No,-0.26,0.421998,0.999933
Ndufb2,NDUFB2,Q9CPU2,NDUB2_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",6420,8228,No,-0.30,0.438804,0.999933
Ndufb3,NDUFB3,Q9CQZ6,NDUB3_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,13862,16554,No,-0.32,0.279522,0.999933
Ndufb4,NDUFB4,Q9CQC7,NDUB4_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,16100,20570,No,-0.29,0.392211,0.999933
Ndufb5,NDUFB5,Q9CQH3,NDUB5_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",28302,30291,No,-0.20,0.481039,0.999933
Ndufb6,NDUFB6,Q3UIU2,NDUB6_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,3467,4475,No,-0.59,0.260756,0.999933
Ndufb7,NDUFB7,Q9CR61,NDUB7_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,3501,4925,No,-0.51,0.148495,0.999933
Ndufb8,NDUFB8,Q9D6J5,NDUB8_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",9531,10177,No,-0.03,0.937888,0.999933
Ndufb9,NDUFB9,Q9CQJ8,NDUB9_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,9152,9303,No,-0.01,0.975691,0.999933
Ndufc2,NDUFC2,Q9CQ54,NDUC2_MOUSE,NADH dehydrogenase [ubiquinone] 1 subunit C2,32118,37463,No,-0.27,0.297396,0.999933
Ndufs1,NDUFS1,Q91VD9,NDUS1_MOUSE,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",15354,19787,No,-0.23,0.517317,0.999933
Ndufs2,NDUFS2,Q91WD5,NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",7920,10989,No,-0.36,0.228267,0.999933
Ndufs3,NDUFS3,Q9DCT2,NDUS3_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",22182,24811,No,-0.15,0.581617,0.999933
Ndufs4,NDUFS4,Q9CXZ1,NDUS4_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",7739,9405,No,-0.10,0.837076,0.999933
Ndufs6,NDUFS6,P52503,NDUS6_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",8651,9496,No,-0.05,0.891742,0.999933
Ndufs7,NDUFS7,Q9DC70,NDUS7_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",64505,63934,No,0.00,0.991799,0.999933
Ndufv1,NDUFV1,Q91YT0,NDUV1_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",28851,29526,No,-0.01,0.962467,0.999933
Ndufv2,NDUFV2,Q9D6J6,NDUV2_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",12150,16289,No,-0.31,0.386126,0.999933
Nebl,NA,Q9DC07,LNEBL_MOUSE,LIM zinc-binding domain-containing Nebulette,18838,15166,No,0.33,0.230890,0.999933
Necap1,NECAP1,Q9CR95,NECP1_MOUSE,Adaptin ear-binding coat-associated protein 1,9289,9749,No,-0.11,0.768276,0.999933
Necap2,NECAP2,Q9D1J1,NECP2_MOUSE,Adaptin ear-binding coat-associated protein 2,9501,9334,No,0.04,0.901526,0.999933
Nectin3,NECTIN3,Q9JLB9,NECT3_MOUSE,Nectin-3,9910,11686,No,-0.21,0.569914,0.999933
Nedd4,NEDD4,P46935,NEDD4_MOUSE,E3 ubiquitin-protein ligase NEDD4,6529,10936,No,-0.69,0.075808,0.999933
Nedd4l,NEDD4L,Q8CFI0,NED4L_MOUSE,E3 ubiquitin-protein ligase NEDD4-like,6902,5636,No,0.36,0.333211,0.999933
Nefh,NEFH,P19246,NFH_MOUSE,Neurofilament heavy polypeptide,27113,25403,No,-0.03,0.926941,0.999933
Nefl,NEFL,P08551,NFL_MOUSE,Neurofilament light polypeptide,27610,20186,No,0.53,0.091585,0.999933
Nefm,NEFM,P08553,NFM_MOUSE,Neurofilament medium polypeptide,53368,50077,No,0.06,0.829874,0.999933
Negr1,NEGR1,Q80Z24,NEGR1_MOUSE,Neuronal growth regulator 1,11590,8476,No,0.32,0.391957,0.999933
Nek9,NEK9,Q8K1R7,NEK9_MOUSE,Serine/threonine-protein kinase Nek9,4772,4331,No,0.14,0.578211,0.999933
Neo1,NEO1,P97798,NEO1_MOUSE,Neogenin,31320,30554,No,0.05,0.827890,0.999933
Neu3,NEU3,Q9JMH7,NEUR3_MOUSE,Sialidase-3,2763,3351,No,-0.31,0.396762,0.999933
Nf1,NF1,Q04690,NF1_MOUSE,Neurofibromin,11403,8447,No,0.50,0.119375,0.999933
Nf2,NF2,P46662,MERL_MOUSE,Merlin,16779,14750,No,0.16,0.489730,0.999933
Nfasc,NFASC,Q810U3,NFASC_MOUSE,Neurofascin,23397,21817,No,0.19,0.514145,0.999933
Nfix,NFIX,P70257,NFIX_MOUSE,Nuclear factor 1 X-type,8220,6703,No,0.38,0.407443,0.999933
Nfs1,NFS1,Q9Z1J3,NFS1_MOUSE,"Cysteine desulfurase, mitochondrial",4885,4382,No,0.14,0.664740,0.999933
Ngef,NGEF,Q8CHT1,NGEF_MOUSE,Ephexin-1,27003,23642,No,0.22,0.392664,0.999933
Nhsl1,NHSL1,Q8CAF4,NHSL1_MOUSE,NHS-like protein 1,9154,7750,No,0.26,0.312614,0.999933
Nipa1,NIPA1,Q8BHK1,NIPA1_MOUSE,Magnesium transporter NIPA1,18054,16940,No,0.08,0.660613,0.999933
Nipal3,NIPAL3,Q8BGN5,NPAL3_MOUSE,NIPA-like protein 3,12448,11653,No,0.20,0.556335,0.999933
Nipsnap1,NIPSNAP1,O55125,NIPS1_MOUSE,Protein NipSnap homolog 1,18929,21292,No,-0.16,0.512139,0.999933
Nipsnap2,NIPSNAP2,O55126,NIPS2_MOUSE,Protein NipSnap homolog 2,9978,9435,No,0.09,0.742398,0.999933
Nipsnap3b,NIPSNAP3A,Q9CQE1,NPS3B_MOUSE,Protein NipSnap homolog 3B,10657,8497,No,0.28,0.369933,0.999933
Nkain4,NKAIN4,Q9JMG4,NKAI4_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4,21228,18962,No,0.16,0.552320,0.999933
Nlgn1,NLGN1,Q99K10,NLGN1_MOUSE,Neuroligin-1,6872,8528,No,-0.36,0.383208,0.999933
Nlgn2,NLGN2,Q69ZK9,NLGN2_MOUSE,Neuroligin-2,19228,20104,No,0.00,0.998904,0.999933
Nlgn3,NLGN3,Q8BYM5,NLGN3_MOUSE,Neuroligin-3,21281,20146,No,0.09,0.796420,0.999933
Nlgn4l,NA,B0F2B4,NLGN4_MOUSE,Neuroligin 4-like,8491,7307,No,0.33,0.387336,0.999933
Nlrx1,NLRX1,Q3TL44,NLRX1_MOUSE,NLR family member X1,10076,8428,No,0.25,0.490516,0.999933
Nme1,NME1,P15532,NDKA_MOUSE,Nucleoside diphosphate kinase A,15969,17183,No,-0.11,0.790225,0.999933
Nmt1,NMT1,O70310,NMT1_MOUSE,Glycylpeptide N-tetradecanoyltransferase 1,11459,10208,No,0.18,0.623141,0.999933
Nmt2,NMT2,O70311,NMT2_MOUSE,Glycylpeptide N-tetradecanoyltransferase 2,4944,6768,No,-0.40,0.244946,0.999933
Nomo1,NOMO1,Q6GQT9,NOMO1_MOUSE,Nodal modulator 1,24359,25336,No,-0.07,0.798229,0.999933
Nono,NONO,Q99K48,NONO_MOUSE,Non-POU domain-containing octamer-binding protein,9909,7593,No,0.33,0.268656,0.999933
Nop56,NOP56,Q9D6Z1,NOP56_MOUSE,Nucleolar protein 56,4996,4781,No,0.08,0.879858,0.999933
Nos1,NOS1,Q9Z0J4,NOS1_MOUSE,"Nitric oxide synthase, brain",5358,4215,No,0.44,0.178983,0.999933
Nos3,NOS3,P70313,NOS3_MOUSE,"Nitric oxide synthase, endothelial",4737,4425,No,0.14,0.590214,0.999933
Notch1,NOTCH1,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1,7795,8391,No,-0.11,0.680550,0.999933
Npepps,NPEPPS,Q11011,PSA_MOUSE,Puromycin-sensitive aminopeptidase,10780,10265,No,0.03,0.918135,0.999933
Npm1,NPM1,Q61937,NPM_MOUSE,Nucleophosmin,20569,22741,No,-0.03,0.930173,0.999933
Npr2,NPR2,Q6VVW5,ANPRB_MOUSE,Atrial natriuretic peptide receptor 2,4202,3909,No,0.05,0.895916,0.999933
Nptn,NPTN,P97300,NPTN_MOUSE,Neuroplastin,51878,50128,No,0.07,0.843702,0.999933
Nptx1,NPTX1,Q62443,NPTX1_MOUSE,Neuronal pentraxin-1,13522,12690,No,0.12,0.679703,0.999933
Nptxr,NPTXR,Q99J85,NPTXR_MOUSE,Neuronal pentraxin receptor,5878,8516,No,-0.54,0.060995,0.999933
Nras,NRAS,P08556,RASN_MOUSE,GTPase NRas,10136,12438,No,-0.33,0.329539,0.999933
Nrcam,NRCAM,Q810U4,NRCAM_MOUSE,Neuronal cell adhesion molecule,10341,10735,No,-0.03,0.936614,0.999933
Nrp2,NRP2,O35375,NRP2_MOUSE,Neuropilin-2,7918,7707,No,0.07,0.837958,0.999933
Nrxn1,NRXN1,Q9CS84,NRX1A_MOUSE,Neurexin-1,64508,63134,No,0.03,0.907913,0.999933
Nrxn2,NRXN2,E9Q7X7,NRX2A_MOUSE,Neurexin-2,14788,14745,No,0.03,0.890300,0.999933
Nrxn3,NRXN3,Q6P9K9,NRX3A_MOUSE,Neurexin-3,37399,34620,No,0.13,0.594758,0.999933
Nsdhl,NSDHL,Q9R1J0,NSDHL_MOUSE,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",6750,5969,No,0.46,0.427762,0.999933
Nsf,NSF,P46460,NSF_MOUSE,Vesicle-fusing ATPase,77365,75548,No,0.07,0.769864,0.999933
